original_filename,filename,category_folder,db_category,parent_category,title,color,style,neck_type,sleeve_length,relative_path
descarga (12).jpg,top_asimetrico_lunares_azul_marino.jpg,Tops - Crop Tops,Tops / Crop Tops,Ropa Superior,Top Asimétrico Estampado Lunares con Caída Lateral Azul Marino,Azul Marino / Blanco,Elegante Casual,Asimétrico,Sin Mangas,Tops - Crop Tops/top_asimetrico_lunares_azul_marino.jpg
descarga (13).jpg,set_cardigan_tejido_crop_rosa_pastel.jpg,Suéteres y Tejidos,Suéteres y Tejidos,Ropa Superior,Twin-set Cárdigan Tejido Cropped Rosa Pastel con Top Blanco,Rosa Pastel / Blanco,Preppy / Suave Tejido,Cuadrado / Abierto,Manga Larga,Suéteres y Tejidos/set_cardigan_tejido_crop_rosa_pastel.jpg
descarga (14).jpg,sueter_marinero_rayas_cuello_zipper.jpg,Suéteres y Tejidos,Suéteres y Tejidos,Ropa Superior,Suéter de Punto Grueso Marinero a Rayas con Cuello Polo y Cierre,Blanco Crudo / Azul Marino,Navy / Clásico Náutico,Cuello Alto con Cierre 1/4,Manga Larga,Suéteres y Tejidos/sueter_marinero_rayas_cuello_zipper.jpg
descarga (15).jpg,sueter_fluffy_crop_cuello_barco_rosa.jpg,Suéteres y Tejidos,Suéteres y Tejidos,Ropa Superior,Suéter Crop Textura Suave Cuello Barco Rosa Suave,Rosa Pastel,Comfy Chic / Invierno,Escote Barco,Manga Larga,Suéteres y Tejidos/sueter_fluffy_crop_cuello_barco_rosa.jpg
descarga (16).jpg,sueter_punto_cuello_redondo_burdeos.jpg,Suéteres y Tejidos,Suéteres y Tejidos,Ropa Superior,Suéter de Punto Fino Cuello Redondo Entallado Borgoña,Burdeos / Vino,Clásico / Otoño Invierno,Cuello Redondo,Manga Larga,Suéteres y Tejidos/sueter_punto_cuello_redondo_burdeos.jpg
descarga (17).jpg,chaqueta_bomber_cuero_vino_cinturon.jpg,Chaquetas - Chamarras,Chaquetas / Chamarras,Ropa Exterior,Chaqueta Bomber Biker de Cuero Sintético Granate con Cinturón,Granate / Borgoña,Biker / Edgy Urbano,Cuello Camisero,Manga Larga,Chaquetas - Chamarras/chaqueta_bomber_cuero_vino_cinturon.jpg
descarga (18).jpg,chaqueta_bomber_cuero_marron_vintage.jpg,Chaquetas - Chamarras,Chaquetas / Chamarras,Ropa Exterior,Chaqueta Bomber Oversize en Cuero Marrón Oscuro,Marrón Oscuro,Vintage 90s / Cuero,Cuello Camisero,Manga Larga,Chaquetas - Chamarras/chaqueta_bomber_cuero_marron_vintage.jpg
descarga (19).jpg,sueter_rayas_cremallera_cuello_amplio.jpg,Suéteres y Tejidos,Suéteres y Tejidos,Ropa Superior,Jersey Tejido Rayas Bretonas con Solapa y Cremallera Frontal,Crema / Azul Marino,Náutico Francés,Cuello Solapa con Cierre,Manga Larga,Suéteres y Tejidos/sueter_rayas_cremallera_cuello_amplio.jpg
descarga (2).jpg,chaleco_top_sastre_peplum_gris.jpg,Tops - Crop Tops,Tops / Crop Tops,Ropa Superior,Top Tipo Chaleco Sastre Gris con Escote Cuadrado y Vuelo Peplum,Gris Marengo,Sastrería Femenina / Tailoring,Escote Cuadrado,Sin Mangas,Tops - Crop Tops/chaleco_top_sastre_peplum_gris.jpg
descarga (20).jpg,camisa_clasica_rayas_azules_algodon.jpg,Camisas,Camisas,Ropa Superior,Camisa Clásica Popelín a Rayas Azules y Blancas de Botones,Azul Celeste / Blanco,Ejecutiva / Fondo de Armario,Cuello Camisero Italiano,Manga Larga,Camisas/camisa_clasica_rayas_azules_algodon.jpg
descarga (21).jpg,camiseta_basica_ajustada_azul_marino.jpg,Camisetas - T-Shirts,Camisetas / T-Shirts,Ropa Superior,Camiseta Básica Slim Fit de Algodón Azul Marino,Azul Marino,Básico Cotidiano,Cuello Redondo,Manga Corta,Camisetas - T-Shirts/camiseta_basica_ajustada_azul_marino.jpg
descarga (22).jpg,camiseta_basica_slim_burdeos.jpg,Camisetas - T-Shirts,Camisetas / T-Shirts,Ropa Superior,Camiseta Básica Slim Fit Cuello Redondo Burdeos,Burdeos,Básico Cotidiano,Cuello Redondo,Manga Corta,Camisetas - T-Shirts/camiseta_basica_slim_burdeos.jpg
descarga (23).jpg,camiseta_fruncida_lateral_marron.jpg,Camisetas - T-Shirts,Camisetas / T-Shirts,Ropa Superior,Camiseta Fruncida Entallada Marrón Espresso,Marrón Espresso,Casual Moderno,Cuello Redondo,Manga Corta,Camisetas - T-Shirts/camiseta_fruncida_lateral_marron.jpg
descarga (24).jpg,top_polo_contraste_marron_crema.jpg,Tops - Crop Tops,Tops / Crop Tops,Ropa Superior,Top de Punto Estilo Polo con Cuello Contraste Crema Marrón,Marrón / Crema,Old Money / Tennis Club,Cuello Polo en V,Manga Corta,Tops - Crop Tops/top_polo_contraste_marron_crema.jpg
descarga (25).jpg,camiseta_crop_rayas_marineras.jpg,Camisetas - T-Shirts,Camisetas / T-Shirts,Ropa Superior,Camiseta Cropped a Rayas Marineras Blanco y Negro,Blanco / Negro,Casual / Streetwear,Cuello Redondo,Manga Corta,Camisetas - T-Shirts/camiseta_crop_rayas_marineras.jpg
descarga (26).jpg,camiseta_raglan_botones_manga_negra.jpg,Camisetas - T-Shirts,Camisetas / T-Shirts,Ropa Superior,Camiseta Estilo Béisbol Raglán Manga Negra con Botones y Microestampado,Blanco / Negro,Y2K / Casual Juvenil,Cuello Redondo Henley,Manga Corta Raglán,Camisetas - T-Shirts/camiseta_raglan_botones_manga_negra.jpg
descarga (27).jpg,top_corset_manga_abullonada_marron.jpg,Tops - Crop Tops,Tops / Crop Tops,Ropa Superior,Top Estilo Corset Escote Cuadrado Manga Abullonada Marrón,Marrón Chocolate,Cottagecore / Romántico,Escote Cuadrado Fruncido,Manga Corta Abullonada,Tops - Crop Tops/top_corset_manga_abullonada_marron.jpg
descarga (28).jpg,vestido_mini_drop_waist_lunares_blanco.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Mini Drop-Waist Blanco a Lunares con Falda Plisada,Blanco / Negro,Retro 60s / Coquette,Cuello Barco Redondo,Sin Mangas,Vestidos/vestido_mini_drop_waist_lunares_blanco.jpg
descarga (29).jpg,vestido_chaleco_sastre_plisado_marron.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Chaleco Sastre Marrón con Botones Dorados y Falda Plisada,Marrón Canela,Dark Academia / Tailored Dress,Escote en V,Sin Mangas,Vestidos/vestido_chaleco_sastre_plisado_marron.jpg
descarga (3).jpg,pantalon_sastre_raya_diplomatica_gris.jpg,Pantalones,Pantalones,Ropa Inferior,Pantalón Sastre Wide Leg Raya Diplomática Gris con Detalle de Cintura,Gris Marengo,Sartorial / Oficina Ejecutiva,N/A,N/A,Pantalones/pantalon_sastre_raya_diplomatica_gris.jpg
descarga (30).jpg,romper_bicolor_top_negro_short_blanco.jpg,Enterizos - Monos,Enterizos / Monos,Prendas de Una Pieza,Enterizo Romper Bicolor Top Negro y Shorts Blancos con Cinturón,Negro / Blanco,Monocromático Sofisticado,Cuello Redondo Alto,Sin Mangas,Enterizos - Monos/romper_bicolor_top_negro_short_blanco.jpg
descarga (31).jpg,vestido_camisero_denim_celeste_lazo.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Camisero en Denim Ligero Celeste con Botones y Lazo Frontal,Azul Celeste,Casual Chic,Cuello Camisero,Manga Corta,Vestidos/vestido_camisero_denim_celeste_lazo.jpg
descarga (32).jpg,vestido_denim_mini_tirantes_lazo_indigo.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Mini en Mezclilla Azul Marino con Tirantes Anudados,Azul Índigo,Denim Casual,Escote Recto,Sin Mangas,Vestidos/vestido_denim_mini_tirantes_lazo_indigo.jpg
descarga (33).jpg,vestido_wrap_lunares_negro_volantes.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Wrap Cruzado Negro a Lunares Blancos con Volantes,Negro / Blanco,Flamenco Chic / Romántico,Escote en V Cruzado,Manga Corta Volantes,Vestidos/vestido_wrap_lunares_negro_volantes.jpg
descarga (34).jpg,vestido_pinafore_overol_denim_negro.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Tipo Overol Pinafore Denim Marino con Camiseta de Rayas,Azul Marino / Blanco,Preppy Casual,Peto Cuadrado,Manga Corta,Vestidos/vestido_pinafore_overol_denim_negro.jpg
descarga (35).jpg,vestido_midi_bordado_etnico_azul_marino.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Midi Azul Marino con Bordado Floral Étnico en Falda y Pecho,Azul Marino / Blanco,Bohemio / Folk Chic,Escote Recto,Sin Mangas,Vestidos/vestido_midi_bordado_etnico_azul_marino.jpg
descarga (36).jpg,vestido_midi_lino_crema_bordado_azul.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Midi en Tejido Crema con Bordado Floral Azul y Falda Escalonada,Crema / Azul,Mediterráneo / Rústico Elegante,Escote Cuadrado,Manga Corta Campana,Vestidos/vestido_midi_lino_crema_bordado_azul.jpg
descarga (37).jpg,vestido_camisero_midi_lino_blanco.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Camisero Midi en Lino Blanco de Botones y Falda Evasé,Blanco Puro,Minimalista / Verano,Cuello Camisero Abierto,Manga Corta,Vestidos/vestido_camisero_midi_lino_blanco.jpg
descarga (38).jpg,vestido_midi_botanico_negro_manga_mariposa.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Midi en Gasa Negra con Estampado Botánico Dorado y Manga Mariposa,Negro / Dorado Olivo,Boho Chic / Coctel Noche,Escote en V,Manga Corta Mariposa,Vestidos/vestido_midi_botanico_negro_manga_mariposa.jpg
descarga (39).jpg,vestido_midi_chifon_floral_rosa_abullonado.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Midi en Chifón Floral Rosa con Mangas Globo y Falda Escalonada,Rosa Floral / Pastel,Romántico / Coquette,Escote Corazón Fruncido,Manga Corta Abullonada,Vestidos/vestido_midi_chifon_floral_rosa_abullonado.jpg
descarga (4).jpg,pantalon_sastre_blanco_tiro_alto.jpg,Pantalones,Pantalones,Ropa Inferior,Pantalón Sastre Tiro Alto de Pierna Recta / Flare Blanco,Blanco Óptico,Ejecutivo / Alta Costura,N/A,N/A,Pantalones/pantalon_sastre_blanco_tiro_alto.jpg
descarga (40).jpg,vestido_midi_verde_oliva_mangas_fruncidas.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Midi Verde Oliva Estampado Floral con Escote Corazón y Volantes,Verde Oliva,Cottagecore / Naturaleza,Escote Corazón,Manga Corta Abullonada,Vestidos/vestido_midi_verde_oliva_mangas_fruncidas.jpg
descarga (41).jpg,mono_corto_romper_camisero_ciruela.jpg,Enterizos - Monos,Enterizos / Monos,Prendas de Una Pieza,Enterizo Corto Romper Camisero con Botones y Lazo Ajustable Ciruela,Ciruela / Burdeos,Casual Urbano / Safari Urbano,Cuello Camisero,Manga Corta,Enterizos - Monos/mono_corto_romper_camisero_ciruela.jpg
descarga (42).jpg,mono_corto_romper_militar_verde_oliva.jpg,Enterizos - Monos,Enterizos / Monos,Prendas de Una Pieza,Enterizo Corto Romper Estilo Utilitario con Cintura Ceñida Verde Oliva,Verde Militar / Oliva,Safari / Utilitario Chic,Cuello Camisero,Manga Corta,Enterizos - Monos/mono_corto_romper_militar_verde_oliva.jpg
descarga (43).jpg,enterizo_largo_palazzo_cruzado_verde.jpg,Enterizos - Monos,Enterizos / Monos,Prendas de Una Pieza,Enterizo Largo Elegante con Escote Cruzado y Pantalón Palazzo Verde,Verde Bosque / Oliva,Elegante / Coctel Fiesta,Escote en V Cruzado,Manga Corta Cap,Enterizos - Monos/enterizo_largo_palazzo_cruzado_verde.jpg
descarga (44).jpg,vestido_mini_flores_azules_volantes_lazos.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Mini Blanco con Microflores Azules y Falda Volantes Escalonada,Blanco / Azul Aciano,Romántico / Coquette,Escote Corazón con Lazos,Sin Mangas,Vestidos/vestido_mini_flores_azules_volantes_lazos.jpg
descarga (45).jpg,pijama_dos_piezas_rayas_rosa_blanco.jpg,Ropa de dormir - Pijamas,Ropa de dormir / Pijamas,Ropa Íntima y Descanso,Conjunto de Pijama Corto Camisero a Rayas Rosa Pastel y Blanco,Rosa Pastel / Blanco,Homewear / Descanso Clásico,Cuello Solapa Camisero,Manga Corta,Ropa de dormir - Pijamas/pijama_dos_piezas_rayas_rosa_blanco.jpg
descarga (46).jpg,pijama_saten_camisero_rosa_vivo_negro.jpg,Ropa de dormir - Pijamas,Ropa de dormir / Pijamas,Ropa Íntima y Descanso,Conjunto de Pijama Corto Satinado Rosa Palo con Vivos Negros,Rosa Palo / Negro,Descanso Satinado / Lujo,Cuello Solapa Camisero,Manga Corta,Ropa de dormir - Pijamas/pijama_saten_camisero_rosa_vivo_negro.jpg
descarga (47).jpg,pijama_top_tirantes_short_rayas_rosa.jpg,Ropa de dormir - Pijamas,Ropa de dormir / Pijamas,Ropa Íntima y Descanso,Conjunto Pijama Camisola y Short Satén Rayas Rosadas,Rosa / Blanco,Descanso / Lencería Satén,Tirantes Finos,Sin Mangas,Ropa de dormir - Pijamas/pijama_top_tirantes_short_rayas_rosa.jpg
descarga (48).jpg,pijama_top_negro_short_vichy_negro.jpg,Ropa de dormir - Pijamas,Ropa de dormir / Pijamas,Ropa Íntima y Descanso,Conjunto Pijama Top Negro Escote Encaje y Short Cuadros Vichy,Negro / Blanco,Casual Homewear,Escote en V Tirantes,Sin Mangas,Ropa de dormir - Pijamas/pijama_top_negro_short_vichy_negro.jpg
descarga (49).jpg,pijama_saten_camisola_short_azul_noche.jpg,Ropa de dormir - Pijamas,Ropa de dormir / Pijamas,Ropa Íntima y Descanso,Conjunto Pijama de Satén con Encaje Azul Noche,Azul Noche / Marino,Lencería Fina / Satén,Escote en V con Encaje,Sin Mangas,Ropa de dormir - Pijamas/pijama_saten_camisola_short_azul_noche.jpg
descarga (5).jpg,jeans_wide_leg_azul_indigo_profundo.jpg,Jeans - Mezclilla,Jeans / Mezclilla,Ropa Inferior,Jeans Wide Leg Tiro Alto en Mezclilla Azul Índigo Profundo,Azul Índigo,Denim Clásico / 70s Flare,N/A,N/A,Jeans - Mezclilla/jeans_wide_leg_azul_indigo_profundo.jpg
descarga (50).jpg,pijama_largo_saten_ciruela_vivos_blancos.jpg,Ropa de dormir - Pijamas,Ropa de dormir / Pijamas,Ropa Íntima y Descanso,Conjunto de Pijama Largo de Satén Color Ciruela con Ribetes Blancos,Ciruela / Púrpura,Elegancia Descanso / Lujo,Cuello Solapa Camisero,Manga Larga,Ropa de dormir - Pijamas/pijama_largo_saten_ciruela_vivos_blancos.jpg
descarga (51).jpg,pijama_largo_saten_azul_marino_clasico.jpg,Ropa de dormir - Pijamas,Ropa de dormir / Pijamas,Ropa Íntima y Descanso,Conjunto de Pijama Largo de Satén Azul Marino Clásico con Ribetes,Azul Marino,Lujo Clásico / Descanso,Cuello Solapa Camisero,Manga Larga,Ropa de dormir - Pijamas/pijama_largo_saten_azul_marino_clasico.jpg
descarga (52).jpg,vestido_mini_babydoll_manga_globo_marron.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Mini Babydoll Marrón con Escote Corazón Fruncido y Manga Globo,Marrón Canela,Cottagecore / Babydoll,Escote Corazón Fruncido,Manga Corta Abullonada,Vestidos/vestido_mini_babydoll_manga_globo_marron.jpg
descarga (53).jpg,vestido_midi_drapeado_azul_marino_escote_v.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Midi Elegante Azul Marino con Escote en V Drapeado,Azul Marino,Coctel / Formal Sofisticado,Escote en V Profundo,Manga Corta Cap,Vestidos/vestido_midi_drapeado_azul_marino_escote_v.jpg
descarga (54).jpg,vestido_midi_negro_escote_cuadrado_abertura.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Midi Entallado Negro Escote Cuadrado y Abertura Frontal,Negro,Little Black Dress / Sofisticado,Escote Cuadrado,Manga Corta,Vestidos/vestido_midi_negro_escote_cuadrado_abertura.jpg
descarga (55).jpg,vestido_midi_blanco_marfil_volantes_escalonados.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Midi Blanco Marfil sin Mangas con Vuelo Asimétrico Escalonado,Blanco Marfil,Haute Couture / Coctel Gala,Cuello Barco Redondo,Sin Mangas,Vestidos/vestido_midi_blanco_marfil_volantes_escalonados.jpg
descarga (56).jpg,vestido_mini_encaje_drapeado_un_hombro_marfil.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Mini en Encaje Blanco Marfil con Escote Asimétrico Un Hombro y Drapeado,Blanco Marfil,Gala / Fiesta Noche,Asimétrico / Un Hombro,Sin Mangas,Vestidos/vestido_mini_encaje_drapeado_un_hombro_marfil.jpg
descarga (57).jpg,vestido_largo_drapeado_asimetrico_amarillo_mantequilla.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Largo de Noche Amarillo Mantequilla con Corpiño Drapeado Asimétrico,Amarillo Mantequilla,Gala / Fiesta Alta Costura,Asimétrico / Escote Diagonal,Sin Mangas,Vestidos/vestido_largo_drapeado_asimetrico_amarillo_mantequilla.jpg
descarga (58).jpg,vestido_largo_drapeado_asimetrico_rojo_vino.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Largo Escote Asimétrico Drapeado Rojo Vino / Borgoña,Rojo Vino / Borgoña,Gala / Noche Elegante,Asimétrico,Sin Mangas,Vestidos/vestido_largo_drapeado_asimetrico_rojo_vino.jpg
descarga (59).jpg,vestido_midi_princesa_azul_noche_manga_farol.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Midi Silueta Princesa Azul Noche con Escote Corazón y Manga Farol,Azul Noche,Princesa / Fiesta Coctel,Escote Corazón,Manga Corta Abullonada,Vestidos/vestido_midi_princesa_azul_noche_manga_farol.jpg
descarga (6).jpg,jeans_rectos_tiro_alto_azul_marino.jpg,Jeans - Mezclilla,Jeans / Mezclilla,Ropa Inferior,Jeans de Pierna Recta y Tiro Alto Azul Índigo Oscuro,Azul Índigo Oscuro,Denim Clásico,N/A,N/A,Jeans - Mezclilla/jeans_rectos_tiro_alto_azul_marino.jpg
descarga (60).jpg,vestido_mini_tirantes_crochet_marron_terracota.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Mini Marrón Terracota con Detalle Crochet en Cintura y Tirantes Finos,Marrón Terracota,Boho / Verano Casual,Escote en V con Tirantes,Sin Mangas,Vestidos/vestido_mini_tirantes_crochet_marron_terracota.jpg
descarga (7).jpg,jeans_bootcut_flare_azul_medio.jpg,Jeans - Mezclilla,Jeans / Mezclilla,Ropa Inferior,Jeans Acampanados Flare Tiro Alto en Azul Denim Medio,Azul Denim Medio,70s Flare / Casual,N/A,N/A,Jeans - Mezclilla/jeans_bootcut_flare_azul_medio.jpg
descarga (8).jpg,pantalon_sastre_wide_leg_beige_crema.jpg,Pantalones,Pantalones,Ropa Inferior,Pantalón de Vestir Sastre Wide Leg Beige Arena,Beige Arena,Old Money / Minimalista Elegante,N/A,N/A,Pantalones/pantalon_sastre_wide_leg_beige_crema.jpg
descarga (9).jpg,jeans_wide_leg_celeste_wash_deslavado.jpg,Jeans - Mezclilla,Jeans / Mezclilla,Ropa Inferior,Jeans Wide Leg Denim Celeste Claro Lavado Vintage,Celeste Claro,Vintage / Casual Urbano,N/A,N/A,Jeans - Mezclilla/jeans_wide_leg_celeste_wash_deslavado.jpg
descarga.jpg,conjunto_top_lunares_pantalon_palazzo_lino.jpg,Enterizos - Monos,Enterizos / Monos,Prendas de Una Pieza,Conjunto Dos Piezas Top Peplum de Lunares y Pantalón Palazzo en Lino,Beige / Negro,Resort Chic / Lino Elegante,Escote Barco / Redondo,Manga Corta Abullonada,Enterizos - Monos/conjunto_top_lunares_pantalon_palazzo_lino.jpg
